PitchNo,Date,Time,Pitcher,PitcherThrows,TaggedPitchType,PitchSession,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime
32,2026-01-16,15:00:07.46,"Hejka, Josh",Right,Slider,Live,76.64368,4.955677506,-4.325577736,2588.108533,168.9509553,11:45,2.00044,3.75004,5.37784,-35.22346,14.38262,-2.81046,3.73511,-0.54631,68.60071,-1.632666631,-4.850498204,0.5069193817
33,2026-01-16,15:00:41.42,"Hejka, Josh",Right,Cutter,Live,80.21548,2.02133163,-3.717751195,2736.052774,196.6869572,12:30,2.20196,3.76799,5.41446,-36.94714,7.56983,2.28526,1.02115,0.47121,72.78303,-4.872760923,-3.291393368,0.4802132761
34,2026-01-16,15:00:59.94,"Hejka, Josh",Right,Slider,Live,74.87176,4.413732502,-5.01025884,2646.858893,154.7592838,11:15,1.93654,3.8597,5.00654,-37.05235,15.96765,-7.53104,3.03878,-1.50863,66.81974,-2.482256275,-6.406587126,0.5240723746
35,2026-01-16,15:01:16.60,"Hejka, Josh",Right,Slider,Live,74.60459,5.002493596,-3.262095314,2666.078359,131.9981845,10:30,1.92514,3.82476,5.37813,-42.48677,9.82825,-10.88044,3.09305,-0.14285,66.8502,-2.954929602,-5.297563605,0.5205765437
36,2026-01-16,15:01:49.48,"Hejka, Josh",Right,Slider,Live,75.73817,4.407730201,-3.964338992,2658.81172,163.5751966,11:30,1.94607,3.95248,,-34.43914,19.87674,-5.86022,3.3489,-0.36817,67.12323,-1.890526473,-5.034053988,0.5304382201
37,2026-01-16,15:02:05.40,"Hejka, Josh",Right,Slider,Live,74.51985,4.700016555,-3.952193951,2653.687206,161.0669702,11:15,1.97295,3.86398,4.93508,-34.16091,19.50959,-6.68794,3.58853,-0.43427,66.24174,-1.667758268,-5.196554028,0.5272774777
38,2026-01-16,15:02:25.04,"Hejka, Josh",Right,Slider,Live,73.68066,3.362904146,-2.489673241,2731.810775,126.7177323,10:15,2.1456,3.87156,5.08809,-42.4401,11.50734,-15.42382,1.78467,0.23857,66.29294,-4.544951995,-5.362755968,0.5286361023
39,2026-01-16,15:02:54.04,"Hejka, Josh",Right,Cutter,Live,79.34523,4.241046727,-4.843920352,,,,2.31571,3.68474,5.49334,-39.59093,5.97745,-0.94333,3.00462,-0.93521,71.94518,-3.134709278,-5.019267326,0.4858510868
40,2026-01-16,15:03:13.11,"Hejka, Josh",Right,Slider,Live,74.8975,4.171004361,-2.213890924,2730.052816,149.5171833,11:00,2.08634,3.6482,5.25609,-33.4163,18.85117,-11.08272,3.22992,0.64379,66.64867,-2.107175567,-4.294896052,0.5203399273
41,2026-01-16,15:03:26.93,"Hejka, Josh",Right,Slider,Live,74.88501,3.862108257,-2.445638824,2687.014719,150.4321977,11:00,2.11767,3.61858,5.40787,-34.34942,17.62965,-9.99656,2.882,0.49309,66.66401,-2.609661991,-4.327757812,0.5189023453
42,2026-01-16,15:03:58.57,"Hejka, Josh",Right,Sinker,Live,84.06334,3.313966802,-5.316956964,2563.238682,285.4110053,3:30,2.47296,3.6527,5.71195,-43.53314,-3.26291,11.5213,1.94891,-0.35412,76.16847,-4.838120942,-3.161779802,0.4567341367
